u,x,dx,ddx
1.88861,8.664,133.404,1394.99
1.89752,8.816,135.193,1433.71
1.90545,8.964,136.403,1410.61
1.91478,9.12,138.29,1457.47
1.92255,9.272,139.588,1440.69
1.9317,9.428,141.155,1452.59
1.94008,9.588,142.965,1487.58
1.94776,9.744,144.193,1460.81
1.95706,9.908,146.097,1504.37
1.96452,10.072,147.811,1524.51
1.97213,10.236,149.352,1525.34
1.98035,10.4,150.736,1510.47
1.98885,10.568,152.383,1523.31
1.99658,10.736,153.864,1518.28
2.00468,10.908,155.597,1538.94
2.01201,11.08,157.154,1539.94
2.01992,11.252,158.555,1525.21
2.02794,11.428,160.217,1538.06
2.03541,11.604,161.71,1532.78
2.04298,11.78,163.053,1512.99
2.05084,11.96,164.661,1521.71
2.05845,12.14,166.108,1513.43
2.0661,12.324,167.81,1531.5
2.07277,12.508,169.34,1530.51
2.08006,12.692,170.717,1514.29
2.08761,12.88,172.356,1525.97
2.09464,13.072,174.23,1560.03
2.10073,13.26,175.514,1531.53
2.10826,13.452,177.069,1533.09
2.11498,13.648,178.869,1559.03
2.12097,13.844,180.488,1564.19
2.12757,14.04,181.944,1552.47
2.13428,14.236,183.253,1527.3
2.14125,14.436,184.831,1531.65
2.14745,14.64,186.65,1559.56
2.1532,14.84,187.887,1526.46
2.16007,15.048,189.799,1564.21
2.16536,15.252,191.12,1539.05
2.17183,15.46,192.707,1543.08
2.1778,15.672,194.533,1570.58
2.18325,15.884,196.177,1577.03
2.18859,16.096,197.656,1566.4
2.19431,16.308,198.986,1541.97
2.20075,16.524,200.581,1546.47
2.20619,16.744,202.416,1574.48
2.21095,16.964,204.068,1581.38
2.21579,17.184,205.554,1570.97
2.22121,17.408,207.289,1586.58
2.22564,17.632,208.851,1583.24
2.23071,17.86,210.656,1604.58
2.23501,18.088,212.28,1605.75
2.23967,18.32,214.139,1630.15
2.24362,18.552,215.812,1633.57
2.24799,18.784,217.318,1619.95
2.25264,19.02,219.072,1632.57
2.25657,19.26,221.047,1665.91
2.25984,19.496,222.424,1636.14
2.26427,19.736,224.065,1635.76
2.26818,19.98,225.94,1658.85
2.27138,20.224,227.624,1660.42
2.275,20.468,229.141,1645.26
2.27891,20.712,230.505,1616.2
2.28317,20.96,232.134,1616.62
2.28662,21.208,233.596,1600.29
2.29064,21.46,235.313,1611.14
2.29368,21.712,236.858,1603.69
2.29686,21.964,238.247,1581.32
2.30055,22.22,239.894,1587.04
2.30348,22.476,241.378,1575.9
2.30678,22.732,242.713,1551.07
2.31034,22.992,244.313,1555.13
2.31312,23.252,245.75,1542.48
2.31628,23.516,247.446,1556.95
2.31863,23.776,248.57,1512.87
2.32237,24.044,250.383,1542.08
2.32425,24.312,252.009,1549.66
2.32655,24.58,253.474,1540.4
2.32889,24.856,255.594,1597.49
2.32967,25.128,257.101,1587.59
2.33198,25.404,258.853,1603.18
2.3335,25.68,260.419,1598.6
2.33518,25.96,262.232,1619.12
2.33608,26.24,263.87,1620.19
2.33764,26.524,265.74,1644.3
2.3382,26.808,267.426,1647.61
2.33913,27.092,268.941,1633.47
2.34046,27.38,270.665,1641.38
2.34081,27.672,272.655,1675.37
2.34071,27.964,274.447,1686.11
2.34095,28.256,276.059,1677.86
2.34131,28.548,277.505,1653.8
2.342,28.844,279.208,1657.82
2.34224,29.14,280.741,1644.45
2.34276,29.44,282.519,1656.93
2.34231,29.744,284.154,1651.78
2.34167,30.048,285.989,1669.2
2.34092,30.348,287.239,1626.42
2.34153,30.652,288.765,1615.47
2.34134,30.956,290.133,1589.93
2.34122,31.264,291.765,1593.25
2.34064,31.572,293.234,1579.98
2.34008,31.88,294.556,1553.34
2.34007,32.192,296.142,1555.77
2.33909,32.5,297.172,1502.35
2.33942,32.816,298.898,1523.94
2.33811,33.128,300.049,1485.85
2.33801,33.448,301.882,1519.81
2.33575,33.764,303.136,1492.37
2.33515,34.084,304.661,1494.86
2.33383,34.404,306.034,1481.93
2.3325,34.724,307.266,1456.14
2.33145,35.048,308.775,1460.63
2.32991,35.368,309.734,1409.72
2.32966,35.692,310.998,1394.36
2.32807,36.02,312.532,1407.54
2.32601,36.344,313.514,1364.26
2.32546,36.676,315.197,1395.41
2.3228,37.004,316.311,1366.59
2.32127,37.332,317.311,1329.21
2.32028,37.668,319.014,1365.83
2.31733,38,320.145,1341.68
2.31554,38.332,321.163,1308.59
2.31421,38.668,322.474,1308.11
2.31211,39.004,323.654,1294.57
2.30972,39.34,324.719,1270.95
2.30782,39.68,326.076,1278.95
2.30539,40.02,327.293,1272.03
2.30293,40.36,328.39,1253.88
2.30048,40.7,329.379,1226.67
2.29855,41.044,330.669,1232.35
2.29572,41.384,331.425,1184.08
2.2937,41.728,332.507,1173.25
2.29128,42.072,333.481,1152.73
2.2889,42.42,334.756,1164.32
2.28537,42.764,335.5,1121.63
2.28337,43.112,336.571,1116.02
2.2808,43.46,337.537,1100.38
2.27789,43.808,338.404,1076.54
2.27517,44.16,339.584,1086.28
2.2719,44.508,340.246,1043.31
2.26959,44.86,341.242,1038.02
2.26638,45.216,342.539,1063.31
2.26233,45.568,343.301,1032.68
2.25942,45.924,344.389,1037.66
