u,x,dx,ddx
5.26518,7.804,126.184,1411.92
5.28981,7.948,127.9,1441.61
5.31243,8.088,129.042,1410.96
5.33998,8.232,130.47,1411.9
5.365,8.38,132.155,1438.42
5.38749,8.528,133.67,1445.33
5.41134,8.676,135.031,1436.19
5.43688,8.824,136.258,1414.44
5.4634,8.98,138.161,1462.56
5.48343,9.136,139.872,1486.71
5.50535,9.288,141.01,1451.06
5.53268,9.444,142.435,1447.68
5.55725,9.604,144.117,1470.32
5.57905,9.768,146.03,1513.83
5.599,9.928,147.349,1493.53
5.62381,10.092,148.936,1502.06
5.64671,10.256,150.363,1493.82
5.67054,10.424,152.048,1512.09
5.69207,10.596,153.962,1551.54
5.71127,10.768,155.684,1567.77
5.73238,10.94,157.234,1565.16
5.75451,11.112,158.628,1547.17
5.77838,11.288,160.28,1556.84
5.79967,11.464,161.768,1549.08
5.8223,11.644,163.505,1567.11
5.84269,11.824,165.069,1565.95
5.86435,12.008,166.874,1589.01
5.88406,12.192,168.498,1591.64
5.905,12.38,170.36,1617.86
5.92391,12.568,172.033,1622.6
5.94431,12.756,173.539,1610
5.96643,12.948,175.293,1623.55
5.98598,13.14,176.871,1618.16
6.00715,13.336,178.691,1637.51
6.02568,13.528,179.927,1596.48
6.04973,13.728,181.839,1627.2
6.06751,13.928,183.56,1635.72
6.08682,14.128,185.108,1626.12
6.10789,14.332,186.898,1641.61
6.12643,14.536,188.509,1637.65
6.14661,14.744,190.359,1658.08
6.16417,14.952,192.023,1657.78
6.18358,15.164,193.919,1680.69
6.20093,15.376,195.624,1682.24
6.21964,15.588,197.159,1666.65
6.24008,15.8,198.539,1637.05
6.26156,16.02,200.58,1676.65
6.27686,16.236,202.016,1651.7
6.29772,16.456,203.709,1654.93
6.31582,16.68,205.631,1680.76
6.33226,16.908,207.758,1724.49
6.3465,17.136,209.672,1742.52
6.36245,17.364,211.394,1739.6
6.38012,17.596,213.344,1759.65
6.3958,17.828,215.095,1757.92
6.41268,18.06,216.671,1738.76
6.43115,18.296,218.49,1745.85
6.44715,18.536,220.526,1773.93
6.46105,18.772,221.956,1738.61
6.48052,19.012,223.643,1732.55
6.4974,19.256,225.561,1750.18
6.51188,19.5,227.287,1746.88
6.52791,19.748,229.237,1766.21
6.54177,19.996,230.992,1764.18
6.55739,20.248,232.972,1784.83
6.57066,20.5,234.753,1783.52
6.58553,20.752,236.351,1764.02
6.60203,21.008,238.19,1770.53
6.61604,21.264,239.846,1758.15
6.63191,21.524,241.735,1770.3
6.64519,21.788,243.83,1801.86
6.65663,22.052,245.719,1809.57
6.66954,22.32,247.815,1837.33
6.68062,22.588,249.704,1841.51
6.69281,22.856,251.4,1825.92
6.70689,23.132,253.727,1875.1
6.71486,23.404,255.421,1856.01
6.72883,23.68,257.344,1861.66
6.74002,23.96,259.471,1887.19
6.7492,24.236,260.986,1849.07
6.76387,24.52,263.151,1879.67
6.77206,24.804,265.096,1885.23
6.78235,25.088,266.844,1870.44
6.79406,25.38,269.219,1919.89
6.80019,25.664,270.554,1860.44
6.815,25.96,272.957,1913.72
6.82021,26.248,274.314,1856.97
6.8347,26.548,276.737,1912.59
6.83936,26.84,278.118,1858.41
6.8531,27.14,280.16,1875.87
6.86142,27.44,281.994,1870.64
6.87078,27.744,284.033,1886.42
6.87828,28.048,285.871,1880.54
6.88756,28.36,288.333,1937.68
6.89108,28.668,290.144,1923.93
6.89989,28.98,292.177,1933.8
6.9066,29.292,294.004,1922.07
6.91555,29.604,295.604,1888.6
6.9256,29.92,297.487,1887.03
6.93339,30.24,299.582,1906.87
6.93888,30.56,301.468,1903.76
6.94606,30.88,303.16,1881.54
6.9544,31.204,305.083,1884.77
6.96116,31.536,307.615,1948.47
6.96172,31.86,309.091,1900.23
6.9718,32.196,311.221,1919.76
6.97525,32.532,313.535,1958.15
6.97745,32.864,315.216,1929.4
6.98481,33.2,317.129,1926.76
6.98996,33.54,319.246,1944.76
